Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,Day_Perc_Change,Trend,volume scaled,sma_21,sma_34,MA,roll_CP_std,UP_band,LO_band,buy,sell,MA_std
2017-06-30,33,JUBLFOOD,EQ,952.1,945.0,952.0,937.3,947.5,946.4,943.57,365054,344452426.9,27252,100981,27.66,6,2017,-0.5986766095998353,Slight Negative,0.0260080807311178,941.3552380952384,961.7129411764706,940.4428571428572,17.90513309665078,976.2531233361588,904.6325909495556,,,17.90513309665078
2017-07-03,34,JUBLFOOD,EQ,946.4,946.4,1006.85,946.4,1006.0,999.25,984.95,1016369,1001075847.0,29622,245785,24.18,7,2017,5.584319526627213,Among Top gainers,0.09493292866183262,944.9704761904766,960.9844117647059,943.2785714285716,23.449353888800147,990.1772792061719,896.3798636509713,,,23.449353888800147
2017-07-04,35,JUBLFOOD,EQ,999.25,1012.0,1044.0,1012.0,1025.0,1025.45,1032.8,1289457,1331745337.0,49531,203516,15.78,7,2017,2.6219664748561518,Positive,0.12383223064582354,950.1495238095241,960.7061764705884,947.2357142857145,31.57962724832018,1010.3949687823549,884.0764597890741,,,31.57962724832018
2017-07-05,36,JUBLFOOD,EQ,1025.45,1031.7,1057.0,1028.05,1048.05,1048.95,1043.43,550836,574759859.3,17081,110064,19.98,7,2017,2.2916768248086195,Positive,0.04566830059134528,955.0633333333336,960.8091176470589,953.4035714285717,41.64103682429374,1036.6856450771593,870.1214977799842,,,41.64103682429374
2017-07-06,37,JUBLFOOD,EQ,1048.95,1045.8,1091.4,1039.2,1080.0,1077.85,1073.73,876216,940821133.7,27664,140650,16.05,7,2017,2.755136088469401,Positive,0.0801013583586253,960.7400000000002,961.9835294117648,961.8750000000002,53.34193670592068,1068.5588734118417,855.1911265881589,,,53.34193670592068
2017-07-07,38,JUBLFOOD,EQ,1077.85,1077.0,1102.0,1065.3,1100.1,1093.35,1090.96,683694,745885941.0,18412,95515,13.97,7,2017,1.438047965857958,Positive,0.059727883813563275,967.3280952380953,963.9164705882356,972.9571428571431,63.2428070009754,1099.4427568590938,846.4715288551923,967.3280952380953,,63.2428070009754
2017-07-10,39,JUBLFOOD,EQ,1093.35,1134.0,1134.0,1099.9,1115.0,1112.0,1111.31,129919,144380289.1,5133,22435,17.27,7,2017,1.7057666803859783,Positive,0.001125122226878484,974.389523809524,966.4079411764709,986.339285714286,71.5152893243315,1129.369864362949,843.308707065623,,,71.5152893243315
2017-07-11,40,JUBLFOOD,EQ,1112.0,1115.0,1126.2,1085.1,1093.1,1090.75,1100.6,409566,450770245.2,12933,60743,14.83,7,2017,-1.9109712230215847,Negative,0.030718524726867903,980.9676190476192,969.089117647059,998.2500000000002,74.17078784286139,1146.591575685723,849.9084243142775,,,74.17078784286139
2017-07-12,41,JUBLFOOD,EQ,1090.75,1093.1,1114.0,1090.05,1103.2,1106.1,1102.12,320543,353277039.3,9308,43191,13.47,7,2017,1.4072885629154095,Positive,0.021297742559504916,987.7676190476192,972.4420588235296,1011.1000000000003,76.28170463183453,1163.6634092636693,858.5365907363312,,,76.28170463183453
2017-07-13,42,JUBLFOOD,EQ,1106.1,1110.1,1118.6,1095.3,1117.9,1111.5,1106.72,278018,307687741.6,12283,60341,21.7,7,2017,0.4882017900732283,Slight or No Change,0.016797571124402624,994.4838095238097,975.6370588235297,1025.2607142857146,75.11214994048103,1175.4850141666766,875.0364144047526,,,75.11214994048103
