Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JUBLFOOD,EQ,20-Sep-17,1396.05,1400,1420,1388,1405.75,1405.4,1406.61,688509,968463513.6,20753,64119,9.31
JUBLFOOD,EQ,21-Sep-17,1405.4,1397.5,1409.7,1377.65,1396,1392.55,1392.82,473735,659828959.5,13638,73756,15.57
JUBLFOOD,EQ,22-Sep-17,1392.55,1385,1398,1364,1379,1380.2,1379.21,563609,777332386,15700,81962,14.54
JUBLFOOD,EQ,25-Sep-17,1380.2,1382,1392,1331,1385,1380.95,1363.83,614646,838272643.2,17478,104740,17.04
JUBLFOOD,EQ,26-Sep-17,1380.95,1387,1403.05,1362.2,1399,1392.8,1379.61,639397,882119455.7,17691,74309,11.62
JUBLFOOD,EQ,27-Sep-17,1392.8,1406,1416,1350,1359,1355.9,1384.11,680179,941442983.6,21757,90877,13.36
JUBLFOOD,EQ,28-Sep-17,1355.9,1356.1,1384.5,1334.5,1374,1375.85,1365.48,797246,1088625656,23750,213852,26.82
JUBLFOOD,EQ,29-Sep-17,1375.85,1385,1404,1375.5,1392,1390.95,1390.48,476540,662620078.7,19172,127663,26.79
JUBLFOOD,EQ,03-Oct-17,1390.95,1402.1,1436.65,1402.1,1416.5,1416.05,1421.27,729091,1036232357,21560,179469,24.62
JUBLFOOD,EQ,04-Oct-17,1416.05,1416.5,1424.9,1392.45,1408.15,1407.45,1406.72,484931,682160341.1,28854,137029,28.26
JUBLFOOD,EQ,05-Oct-17,1407.45,1419,1490,1410,1483.4,1482.35,1456.26,1906198,2775919258,58026,344584,18.08
JUBLFOOD,EQ,06-Oct-17,1482.35,1520,1555,1510,1545.05,1543.4,1540.11,2970740,4575254808,78426,303503,10.22
JUBLFOOD,EQ,09-Oct-17,1543.4,1545,1555.45,1492,1498,1497.9,1516.06,1398803,2120670787,38963,208668,14.92
JUBLFOOD,EQ,10-Oct-17,1497.9,1506.8,1535.95,1466.4,1520.6,1526.2,1503.01,1466929,2204806438,40024,132772,9.05
JUBLFOOD,EQ,11-Oct-17,1526.2,1544.8,1551.6,1483.1,1488.05,1490.25,1519.39,1606907,2441514376,40367,157303,9.79
JUBLFOOD,EQ,12-Oct-17,1490.25,1501,1516.5,1487.7,1508,1501.8,1500.92,717750,1077284079,15871,39543,5.51
JUBLFOOD,EQ,13-Oct-17,1501.8,1510,1532,1510,1515,1515.55,1521.47,946117,1439492288,43265,292062,30.87
JUBLFOOD,EQ,16-Oct-17,1515.55,1528,1562.9,1519.1,1557,1551.65,1544.79,1464541,2262412581,36271,196955,13.45
JUBLFOOD,EQ,17-Oct-17,1551.65,1544,1590.95,1544,1585,1582.5,1569.49,1253858,1967913229,35464,179597,14.32
JUBLFOOD,EQ,18-Oct-17,1582.5,1593.95,1594.6,1519.4,1536,1532.95,1559.12,1284687,2002979477,35803,291501,22.69
JUBLFOOD,EQ,19-Oct-17,1532.95,1542.2,1549.95,1517.45,1526,1529.7,1535.79,119287,183199243.2,3622,19222,16.11
JUBLFOOD,EQ,23-Oct-17,1529.7,1530.1,1565,1526,1547.05,1548.2,1543.72,841823,1299537102,27709,198369,23.56
JUBLFOOD,EQ,24-Oct-17,1548.2,1552.2,1615.25,1549.3,1613.5,1609.85,1589.06,1380356,2193468182,41054,210786,15.27
JUBLFOOD,EQ,25-Oct-17,1609.85,1615.9,1630,1588.05,1595.2,1604.8,1609.75,1037754,1670521097,26020,218363,21.04
JUBLFOOD,EQ,26-Oct-17,1604.8,1595.1,1719.9,1565.6,1640.55,1642.65,1653.38,5187137,8576323075,129897,599606,11.56
JUBLFOOD,EQ,27-Oct-17,1642.65,1678.9,1698,1618,1625,1622.3,1649.94,1738039,2867653434,56991,330608,19.02
JUBLFOOD,EQ,30-Oct-17,1622.3,1627.1,1640.95,1606.8,1622,1620.15,1620.27,585941,949380736.4,19440,135727,23.16
JUBLFOOD,EQ,31-Oct-17,1620.15,1621,1650.8,1615.9,1632.2,1632.65,1634.02,690324,1128002065,20871,143319,20.76
JUBLFOOD,EQ,01-Nov-17,1632.65,1633,1656,1620,1626.55,1626.5,1639.41,608953,998324659.7,19330,85819,14.09
JUBLFOOD,EQ,02-Nov-17,1626.5,1626.5,1638.55,1613.4,1619,1617.75,1624.22,327671,532211380.9,10096,46059,14.06
JUBLFOOD,EQ,03-Nov-17,1617.75,1628,1633,1604.8,1611.3,1611.3,1613.98,332563,536750829.8,10258,59110,17.77
JUBLFOOD,EQ,06-Nov-17,1611.3,1609.7,1631.5,1595.5,1616.25,1615.65,1614.98,380457,614430383.1,11645,77928,20.48
JUBLFOOD,EQ,07-Nov-17,1615.65,1619.25,1628,1593.55,1597,1599.3,1609.36,374856,603278790.1,16532,111176,29.66
JUBLFOOD,EQ,08-Nov-17,1599.3,1597,1633.9,1590,1615.75,1614.25,1616.79,558323,902691223.4,23247,129337,23.17
JUBLFOOD,EQ,09-Nov-17,1614.25,1620,1665,1611.7,1663,1649.35,1636.21,676684,1107198935,22910,120651,17.83
JUBLFOOD,EQ,10-Nov-17,1649.35,1660,1674.85,1640.05,1660.05,1661.8,1658.84,574916,953696211.8,19514,167252,29.09
JUBLFOOD,EQ,13-Nov-17,1661.8,1720,1720.05,1686.2,1698.5,1699.4,1701.84,919037,1564049525,43248,290886,31.65
JUBLFOOD,EQ,14-Nov-17,1699.4,1702,1716.9,1695.6,1705,1700.55,1704.8,446470,761143747.1,19685,125682,28.15
JUBLFOOD,EQ,15-Nov-17,1700.55,1690,1745,1685.55,1715,1712.75,1728.29,867709,1499653466,28127,138026,15.91
JUBLFOOD,EQ,16-Nov-17,1712.75,1750,1782.75,1722.15,1779.4,1774.6,1749.23,1012008,1770239305,32037,108208,10.69
JUBLFOOD,EQ,17-Nov-17,1774.6,1779.6,1791,1753.2,1761.15,1761.1,1771.34,744983,1319618529,21003,146010,19.6
JUBLFOOD,EQ,20-Nov-17,1761.1,1762,1768,1735,1752,1745.85,1747.73,332413,580968060.7,13531,79824,24.01
JUBLFOOD,EQ,21-Nov-17,1745.85,1742.1,1761.45,1716,1734.3,1731.45,1741.07,392141,682744025.1,16384,69901,17.83
JUBLFOOD,EQ,22-Nov-17,1731.45,1730,1740.65,1706.8,1733.35,1726.6,1720.51,321453,553062561.1,12315,43397,13.5
JUBLFOOD,EQ,23-Nov-17,1726.6,1735.25,1737.8,1711.1,1712.1,1716.7,1720.65,200911,345697215.1,7168,37155,18.49
JUBLFOOD,EQ,24-Nov-17,1716.7,1712,1810,1702.05,1797,1803.3,1773.45,1375147,2438754638,36684,131690,9.58
JUBLFOOD,EQ,27-Nov-17,1803.3,1781,1812.4,1780,1796.15,1799.8,1798.83,656156,1180312408,22305,60398,9.2
JUBLFOOD,EQ,28-Nov-17,1799.8,1796.15,1831.9,1787.8,1794,1794.65,1812.61,965511,1750096529,29827,202609,20.98
JUBLFOOD,EQ,29-Nov-17,1794.65,1805,1809.7,1781.8,1786.5,1789.8,1794.88,478792,859374387.6,16806,92166,19.25
JUBLFOOD,EQ,30-Nov-17,1789.8,1780,1799,1768.1,1773.3,1775.2,1779.87,806892,1436160281,19934,377073,46.73
JUBLFOOD,EQ,01-Dec-17,1775.2,1787.9,1787.9,1745.1,1759.9,1752.7,1766.09,317873,561393658.6,10804,62373,19.62
JUBLFOOD,EQ,04-Dec-17,1752.7,1774,1774,1726.3,1739.85,1732.3,1747.63,470970,823079699.6,15350,110926,23.55
JUBLFOOD,EQ,05-Dec-17,1732.3,1732.5,1752.25,1714,1746.9,1743.75,1731.54,441190,763936778.9,23358,106863,24.22
JUBLFOOD,EQ,06-Dec-17,1743.75,1740,1747.2,1700.05,1703,1705.6,1720.32,500236,860568371.4,15690,173450,34.67
JUBLFOOD,EQ,07-Dec-17,1705.6,1706.55,1712.7,1645.5,1652.1,1650.55,1667.68,1091477,1820230622,51494,445406,40.81
JUBLFOOD,EQ,08-Dec-17,1650.55,1658.5,1700,1650.6,1661,1661.1,1673.86,1084388,1815111555,30547,245746,22.66
JUBLFOOD,EQ,11-Dec-17,1661.1,1672,1689,1653,1678,1677.1,1675.3,480827,805530042.4,20017,78879,16.4
JUBLFOOD,EQ,12-Dec-17,1677.1,1685,1732.5,1672.1,1716.35,1719.05,1714.28,1172295,2009642454,34836,103614,8.84
JUBLFOOD,EQ,13-Dec-17,1719.05,1727.95,1735.9,1692.6,1708,1701.45,1716.03,487083,835850792,14233,41438,8.51
JUBLFOOD,EQ,14-Dec-17,1701.45,1722,1723.95,1664.85,1694,1694,1683.57,506184,852197118.6,27054,107241,21.19
JUBLFOOD,EQ,15-Dec-17,1694,1703.1,1732,1703.1,1720.2,1720.2,1718.67,499900,859163918.1,30234,137215,27.45
JUBLFOOD,EQ,18-Dec-17,1720.2,1720.2,1764,1647.4,1751.05,1745.95,1736.9,868752,1508939591,31873,254391,29.28
JUBLFOOD,EQ,19-Dec-17,1745.95,1738,1770,1738,1762.1,1763.2,1760.68,363842,640610044.8,12975,47580,13.08
JUBLFOOD,EQ,20-Dec-17,1763.2,1766,1790,1765.5,1780,1781.45,1777.45,421841,749800725.2,16582,103445,24.52
JUBLFOOD,EQ,21-Dec-17,1781.45,1790,1794,1761.55,1771.65,1774.1,1775.56,327017,580636866.8,14304,76874,23.51
