,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,Day_Perc_Change,Trend
372,JUBLFOOD,EQ,2018-11-13,1100.95,1102.85,1157.3,1084.5,1157.0,1151.35,1127.21,2747549,3097055931.0,84585,510144,18.57,11,2018,4.577864571506418,Among Top gainers
373,JUBLFOOD,EQ,2018-11-14,1151.35,1160.9,1178.0,1144.35,1152.0,1154.45,1160.86,1682757,1953440879.0,48620,133479,7.93,11,2018,0.269249142311212,Slight or No Change
374,JUBLFOOD,EQ,2018-11-15,1154.45,1158.8,1198.7,1151.0,1197.0,1192.5,1182.19,1818864,2150234030.0,51207,273869,15.06,11,2018,3.2959417904629973,Among Top gainers
375,JUBLFOOD,EQ,2018-11-16,1192.5,1199.45,1222.0,1173.05,1188.0,1191.1,1199.5,2025529,2429617387.0,66218,376363,18.58,11,2018,-0.1174004192872169,Slight or No Change
376,JUBLFOOD,EQ,2018-11-19,1191.1,1199.7,1215.9,1174.0,1209.0,1207.6,1195.96,1220803,1460033339.0,40659,129286,10.59,11,2018,1.3852741163630222,Positive
377,JUBLFOOD,EQ,2018-11-20,1207.6,1209.95,1227.95,1205.0,1210.9,1214.2,1218.07,1560063,1900267599.0,47758,209960,13.46,11,2018,0.5465385889367402,Slight Positive
378,JUBLFOOD,EQ,2018-11-21,1214.2,1214.0,1223.9,1195.0,1223.9,1213.95,1207.7,1213947,1466080281.0,42372,130273,10.73,11,2018,-0.020589688683902985,Slight or No Change
379,JUBLFOOD,EQ,2018-11-22,1213.95,1223.9,1225.0,1205.1,1209.6,1211.4,1216.71,869826,1058322800.0,28787,103044,11.85,11,2018,-0.21005807487952666,Slight or No Change
380,JUBLFOOD,EQ,2018-11-26,1211.4,1217.7,1236.3,1213.2,1229.0,1228.95,1226.55,1221513,1498246965.0,36766,140022,11.46,11,2018,1.4487369985141108,Positive
381,JUBLFOOD,EQ,2018-11-27,1228.95,1229.4,1247.0,1215.5,1246.0,1243.4,1232.61,1167044,1438514935.0,44138,280652,24.05,11,2018,1.1758004800846322,Positive
382,JUBLFOOD,EQ,2018-11-28,1243.4,1244.0,1254.0,1235.0,1244.0,1244.8,1244.79,1275957,1588299841.0,39722,267708,20.98,11,2018,0.11259449895446583,Slight or No Change
383,JUBLFOOD,EQ,2018-11-29,1244.8,1248.1,1250.0,1224.0,1228.0,1228.65,1231.2,1127323,1387955131.0,32852,376980,33.44,11,2018,-1.2973971722364919,Negative
384,JUBLFOOD,EQ,2018-11-30,1228.65,1234.0,1272.65,1220.0,1266.1,1258.05,1248.36,1245114,1554354808.0,41035,360765,28.97,11,2018,2.392870223415944,Positive
385,JUBLFOOD,EQ,2018-12-03,1258.05,1264.85,1355.0,1254.05,1321.0,1329.95,1318.2,3876048,5109422036.0,118952,754068,19.45,12,2018,5.715194149676095,Among Top gainers
386,JUBLFOOD,EQ,2018-12-04,1329.95,1321.0,1348.0,1315.0,1336.0,1335.75,1334.18,1550693,2068901440.0,45922,178948,11.54,12,2018,0.43610662054964777,Slight or No Change
387,JUBLFOOD,EQ,2018-12-05,1335.75,1320.0,1332.5,1305.05,1320.1,1323.95,1314.81,1055417,1387669351.0,35185,148325,14.05,12,2018,-0.8833988396032111,Slight Negative
388,JUBLFOOD,EQ,2018-12-06,1323.95,1308.5,1338.9,1291.9,1298.5,1301.85,1317.54,1425920,1878709549.0,39921,197687,13.86,12,2018,-1.6692473280713105,Negative
389,JUBLFOOD,EQ,2018-12-07,1301.85,1304.1,1309.55,1222.0,1248.5,1243.4,1249.45,2348274,2934044222.0,74902,504001,21.46,12,2018,-4.489764565810184,Among top Losers
390,JUBLFOOD,EQ,2018-12-10,1243.4,1212.55,1229.0,1187.0,1196.0,1198.2,1204.76,1592583,1918684517.0,47320,137441,8.63,12,2018,-3.6351938233874947,Among top Losers
391,JUBLFOOD,EQ,2018-12-11,1198.2,1185.0,1268.4,1164.05,1264.0,1255.95,1218.88,2057895,2508336546.0,56115,150357,7.31,12,2018,4.819729594391586,Among Top gainers
392,JUBLFOOD,EQ,2018-12-12,1255.95,1265.5,1271.9,1216.7,1233.0,1232.9,1236.6,2258456,2792796912.0,64381,562756,24.92,12,2018,-1.835264142680837,Negative
393,JUBLFOOD,EQ,2018-12-13,1232.9,1250.0,1283.9,1240.0,1244.0,1251.1,1266.16,2276979,2883011601.0,75403,216643,9.51,12,2018,1.4761943385513732,Positive
394,JUBLFOOD,EQ,2018-12-14,1251.1,1244.0,1257.8,1225.0,1249.0,1246.55,1240.64,1435625,1781097710.0,43615,292671,20.39,12,2018,-0.36367996163375604,Slight or No Change
395,JUBLFOOD,EQ,2018-12-17,1246.55,1259.0,1280.0,1248.55,1279.0,1276.95,1267.17,1246423,1579434659.0,40243,172935,13.87,12,2018,2.4387308972764865,Positive
396,JUBLFOOD,EQ,2018-12-18,1276.95,1270.0,1295.0,1263.2,1288.65,1289.4,1284.25,1677757,2154655137.0,40964,232914,13.88,12,2018,0.9749794432045045,Slight Positive
397,JUBLFOOD,EQ,2018-12-19,1289.4,1304.0,1349.0,1299.3,1347.85,1343.65,1333.58,2441586,3256055018.0,56665,323118,13.23,12,2018,4.207383279044508,Among Top gainers
398,JUBLFOOD,EQ,2018-12-20,1343.65,1335.0,1370.0,1325.0,1355.0,1353.35,1354.56,1826832,2474544595.0,46245,131313,7.19,12,2018,0.72191418896288,Slight Positive
399,JUBLFOOD,EQ,2018-12-21,1353.35,1358.8,1376.0,1306.0,1314.95,1313.5,1335.76,1968751,2629769058.0,56449,311981,15.85,12,2018,-2.9445450179184873,Negative
400,JUBLFOOD,EQ,2018-12-24,1313.5,1321.75,1324.75,1213.85,1216.8,1218.95,1246.47,3710907,4625520114.0,146521,838608,22.6,12,2018,-7.198325085649026,Bear Drop
401,JUBLFOOD,EQ,2018-12-26,1218.95,1206.1,1238.0,1146.0,1235.0,1232.85,1196.53,9568927,11449487320.0,269473,607217,6.35,12,2018,1.1403256901431513,Positive
402,JUBLFOOD,EQ,2018-12-27,1232.85,1249.9,1255.9,1215.5,1233.4,1233.4,1234.72,3099448,3826937356.0,77234,234789,7.58,12,2018,0.04461207770614095,Slight or No Change
403,JUBLFOOD,EQ,2018-12-28,1233.4,1245.0,1268.15,1233.8,1246.0,1248.65,1255.07,2488261,3122952891.0,60031,187987,7.55,12,2018,1.236419652991727,Positive
404,JUBLFOOD,EQ,2018-12-31,1248.65,1253.7,1262.0,1241.3,1254.0,1252.0,1251.82,1508620,1888524599.0,33628,102085,6.77,12,2018,0.2682897529331596,Slight or No Change
405,JUBLFOOD,EQ,2019-01-01,1252.0,1256.6,1257.65,1243.4,1250.45,1250.85,1250.23,882074,1102796005.0,22057,46176,5.23,1,2019,-0.09185303514377408,Slight or No Change
406,JUBLFOOD,EQ,2019-01-02,1250.85,1244.0,1276.2,1229.0,1237.0,1239.15,1257.24,2793859,3512544356.0,69127,313505,11.22,1,2019,-0.9353639525122803,Slight Negative
407,JUBLFOOD,EQ,2019-01-03,1239.15,1241.0,1257.1,1235.2,1239.0,1239.65,1246.3,1517963,1891844005.0,61879,192621,12.69,1,2019,0.04035024008393062,Slight or No Change
408,JUBLFOOD,EQ,2019-01-04,1239.65,1244.5,1250.4,1200.25,1210.0,1212.1,1218.27,2473246,3013093178.0,70077,285977,11.56,1,2019,-2.2224014842899376,Negative
409,JUBLFOOD,EQ,2019-01-07,1212.1,1224.5,1236.0,1208.9,1219.0,1217.05,1224.28,1211290,1482959779.0,30735,120611,9.96,1,2019,0.4083821466875692,Slight or No Change
410,JUBLFOOD,EQ,2019-01-08,1217.05,1226.0,1248.0,1213.15,1248.0,1240.25,1230.7,1432995,1763586081.0,39312,310480,21.67,1,2019,1.9062487161579211,Positive
411,JUBLFOOD,EQ,2019-01-09,1240.25,1249.0,1265.5,1225.0,1233.0,1234.15,1242.92,2226302,2767112049.0,60254,400686,18.0,1,2019,-0.49183632332190363,Slight or No Change
412,JUBLFOOD,EQ,2019-01-10,1234.15,1236.85,1243.2,1223.75,1235.95,1233.8,1233.73,853461,1052941894.0,24231,78166,9.16,1,2019,-0.028359599724514517,Slight or No Change
413,JUBLFOOD,EQ,2019-01-11,1233.8,1240.0,1252.0,1230.6,1233.15,1237.6,1241.78,1251272,1553808463.0,33708,144844,11.58,1,2019,0.3079915707570047,Slight or No Change
